,肉類,消費額,都道府県
0,牛肉,13277,北海道
1,豚肉,32631,北海道
2,鶏肉,16470,北海道
3,合いびき肉,1850,北海道
4,他の生鮮肉,5129,北海道
5,牛肉,14678,青森県
6,豚肉,31527,青森県
7,鶏肉,15134,青森県
8,合いびき肉,1356,青森県
9,他の生鮮肉,3280,青森県
10,牛肉,11127,岩手県
11,豚肉,29799,岩手県
12,鶏肉,14054,岩手県
13,合いびき肉,1446,岩手県
14,他の生鮮肉,3028,岩手県
15,牛肉,15195,宮城県
16,豚肉,32890,宮城県
17,鶏肉,15148,宮城県
18,合いびき肉,1574,宮城県
19,他の生鮮肉,3524,宮城県
20,牛肉,14980,秋田県
21,豚肉,31855,秋田県
22,鶏肉,14959,秋田県
23,合いびき肉,1359,秋田県
24,他の生鮮肉,2746,秋田県
25,牛肉,26279,山形県
26,豚肉,33865,山形県
27,鶏肉,15536,山形県
28,合いびき肉,1720,山形県
29,他の生鮮肉,4177,山形県
30,牛肉,11639,福島県
31,豚肉,34786,福島県
32,鶏肉,13285,福島県
33,合いびき肉,1047,福島県
34,他の生鮮肉,2890,福島県
35,牛肉,13708,茨城県
36,豚肉,29038,茨城県
37,鶏肉,14242,茨城県
38,合いびき肉,1598,茨城県
39,他の生鮮肉,1586,茨城県
40,牛肉,17426,栃木県
41,豚肉,32156,栃木県
42,鶏肉,14877,栃木県
43,合いびき肉,1785,栃木県
44,他の生鮮肉,2105,栃木県
45,牛肉,12564,群馬県
46,豚肉,28993,群馬県
47,鶏肉,11811,群馬県
48,合いびき肉,1634,群馬県
49,他の生鮮肉,2016,群馬県
50,牛肉,19697,埼玉県
51,豚肉,34517,埼玉県
52,鶏肉,16528,埼玉県
53,合いびき肉,2908,埼玉県
54,他の生鮮肉,2094,埼玉県
55,牛肉,20127,千葉県
56,豚肉,32526,千葉県
57,鶏肉,15794,千葉県
58,合いびき肉,2376,千葉県
59,他の生鮮肉,2347,千葉県
60,牛肉,27075,東京都
61,豚肉,34946,東京都
62,鶏肉,17769,東京都
63,合いびき肉,3134,東京都
64,他の生鮮肉,2755,東京都
65,牛肉,23980,神奈川県
66,豚肉,36028,神奈川県
67,鶏肉,18018,神奈川県
68,合いびき肉,3140,神奈川県
69,他の生鮮肉,2174,神奈川県
70,牛肉,10820,新潟県
71,豚肉,35328,新潟県
72,鶏肉,14057,新潟県
73,合いびき肉,1575,新潟県
74,他の生鮮肉,1964,新潟県
75,牛肉,18839,富山県
76,豚肉,29949,富山県
77,鶏肉,13100,富山県
78,合いびき肉,3663,富山県
79,他の生鮮肉,2034,富山県
80,牛肉,23381,石川県
81,豚肉,34524,石川県
82,鶏肉,17920,石川県
83,合いびき肉,4623,石川県
84,他の生鮮肉,2844,石川県
85,牛肉,25427,福井県
86,豚肉,27513,福井県
87,鶏肉,15610,福井県
88,合いびき肉,3501,福井県
89,他の生鮮肉,2707,福井県
90,牛肉,16604,山梨県
91,豚肉,31980,山梨県
92,鶏肉,13039,山梨県
93,合いびき肉,1947,山梨県
94,他の生鮮肉,3015,山梨県
95,牛肉,12596,長野県
96,豚肉,30199,長野県
97,鶏肉,12715,長野県
98,合いびき肉,1569,長野県
99,他の生鮮肉,1898,長野県
100,牛肉,23852,岐阜県
101,豚肉,28545,岐阜県
102,鶏肉,13968,岐阜県
103,合いびき肉,2882,岐阜県
104,他の生鮮肉,2133,岐阜県
105,牛肉,17946,静岡県
106,豚肉,34395,静岡県
107,鶏肉,15710,静岡県
108,合いびき肉,2711,静岡県
109,他の生鮮肉,2869,静岡県
110,牛肉,22756,愛知県
111,豚肉,29289,愛知県
112,鶏肉,15421,愛知県
113,合いびき肉,2896,愛知県
114,他の生鮮肉,2413,愛知県
115,牛肉,32799,三重県
116,豚肉,28444,三重県
117,鶏肉,16797,三重県
118,合いびき肉,3595,三重県
119,他の生鮮肉,2459,三重県
120,牛肉,38835,滋賀県
121,豚肉,32681,滋賀県
122,鶏肉,20516,滋賀県
123,合いびき肉,4534,滋賀県
124,他の生鮮肉,2908,滋賀県
125,牛肉,39581,京都府
126,豚肉,31168,京都府
127,鶏肉,20132,京都府
128,合いびき肉,3770,京都府
129,他の生鮮肉,2801,京都府
130,牛肉,33954,大阪府
131,豚肉,29645,大阪府
132,鶏肉,17722,大阪府
133,合いびき肉,3907,大阪府
134,他の生鮮肉,4023,大阪府
135,牛肉,30462,兵庫県
136,豚肉,30252,兵庫県
137,鶏肉,18797,兵庫県
138,合いびき肉,3355,兵庫県
139,他の生鮮肉,3189,兵庫県
140,牛肉,37295,奈良県
141,豚肉,32010,奈良県
142,鶏肉,18059,奈良県
143,合いびき肉,3692,奈良県
144,他の生鮮肉,3032,奈良県
145,牛肉,34562,和歌山県
146,豚肉,30944,和歌山県
147,鶏肉,17652,和歌山県
148,合いびき肉,3101,和歌山県
149,他の生鮮肉,3115,和歌山県
150,牛肉,22767,鳥取県
151,豚肉,29987,鳥取県
152,鶏肉,18463,鳥取県
153,合いびき肉,4527,鳥取県
154,他の生鮮肉,2233,鳥取県
155,牛肉,20283,島根県
156,豚肉,27900,島根県
157,鶏肉,16404,島根県
158,合いびき肉,3482,島根県
159,他の生鮮肉,2535,島根県
160,牛肉,23084,岡山県
161,豚肉,29817,岡山県
162,鶏肉,17596,岡山県
163,合いびき肉,4126,岡山県
164,他の生鮮肉,3355,岡山県
165,牛肉,29658,広島県
166,豚肉,33030,広島県
167,鶏肉,18545,広島県
168,合いびき肉,3972,広島県
169,他の生鮮肉,3728,広島県
170,牛肉,30080,山口県
171,豚肉,28606,山口県
172,鶏肉,19581,山口県
173,合いびき肉,4041,山口県
174,他の生鮮肉,3486,山口県
175,牛肉,32068,徳島県
176,豚肉,27743,徳島県
177,鶏肉,16442,徳島県
178,合いびき肉,3702,徳島県
179,他の生鮮肉,2792,徳島県
180,牛肉,23486,香川県
181,豚肉,27395,香川県
182,鶏肉,17578,香川県
183,合いびき肉,3871,香川県
184,他の生鮮肉,3832,香川県
185,牛肉,26083,愛媛県
186,豚肉,29357,愛媛県
187,鶏肉,17348,愛媛県
188,合いびき肉,4176,愛媛県
189,他の生鮮肉,2732,愛媛県
190,牛肉,22831,高知県
191,豚肉,26492,高知県
192,鶏肉,17732,高知県
193,合いびき肉,4419,高知県
194,他の生鮮肉,3342,高知県
195,牛肉,26414,福岡県
196,豚肉,29816,福岡県
197,鶏肉,21151,福岡県
198,合いびき肉,3729,福岡県
199,他の生鮮肉,4044,福岡県
200,牛肉,29896,佐賀県
201,豚肉,28950,佐賀県
202,鶏肉,17823,佐賀県
203,合いびき肉,4178,佐賀県
204,他の生鮮肉,3199,佐賀県
205,牛肉,22859,長崎県
206,豚肉,27232,長崎県
207,鶏肉,16170,長崎県
208,合いびき肉,4191,長崎県
209,他の生鮮肉,3114,長崎県
210,牛肉,26570,熊本県
211,豚肉,31346,熊本県
212,鶏肉,21081,熊本県
213,合いびき肉,4856,熊本県
214,他の生鮮肉,4586,熊本県
215,牛肉,28090,大分県
216,豚肉,28075,大分県
217,鶏肉,18709,大分県
218,合いびき肉,3811,大分県
219,他の生鮮肉,3518,大分県
220,牛肉,23533,宮崎県
221,豚肉,30297,宮崎県
222,鶏肉,20993,宮崎県
223,合いびき肉,3802,宮崎県
224,他の生鮮肉,2924,宮崎県
225,牛肉,25605,鹿児島県
226,豚肉,31468,鹿児島県
227,鶏肉,19914,鹿児島県
228,合いびき肉,3786,鹿児島県
229,他の生鮮肉,2615,鹿児島県
230,牛肉,13626,沖縄県
231,豚肉,27742,沖縄県
232,鶏肉,12212,沖縄県
233,合いびき肉,2551,沖縄県
234,他の生鮮肉,2490,沖縄県
235,0,0,0
